127.0.0.1 - - [10/Jan/2022:15:00:05 +0700] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [10/Jan/2022:15:00:06 +0700] "GET /BachKhoaNews/index.jsp HTTP/1.1" 200 49660
0:0:0:0:0:0:0:1 - - [10/Jan/2022:15:00:06 +0700] "GET /BachKhoaNews/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jan/2022:15:00:06 +0700] "GET /BachKhoaNews/css/responsive.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jan/2022:15:00:06 +0700] "GET /BachKhoaNews/img/main-logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jan/2022:15:00:06 +0700] "GET /BachKhoaNews/img/main-news.webp HTTP/1.1" 200 169760
0:0:0:0:0:0:0:1 - - [10/Jan/2022:15:00:06 +0700] "GET /BachKhoaNews/img/quynhdanh6.webp HTTP/1.1" 200 87344
0:0:0:0:0:0:0:1 - - [10/Jan/2022:15:00:06 +0700] "GET /BachKhoaNews/img/banh-kem.webp HTTP/1.1" 200 101634
0:0:0:0:0:0:0:1 - - [10/Jan/2022:15:00:06 +0700] "GET /BachKhoaNews/img/Trang_xau_2.webp HTTP/1.1" 200 7406
0:0:0:0:0:0:0:1 - - [10/Jan/2022:15:00:06 +0700] "GET /BachKhoaNews/img/jun-vu.webp HTTP/1.1" 200 18712
0:0:0:0:0:0:0:1 - - [10/Jan/2022:15:00:06 +0700] "GET /BachKhoaNews/js/main.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jan/2022:15:00:06 +0700] "GET /BachKhoaNews/img/nxb_th.webp HTTP/1.1" 200 25248
0:0:0:0:0:0:0:1 - - [10/Jan/2022:15:00:06 +0700] "GET /BachKhoaNews/img/caterory.webp HTTP/1.1" 200 29106
0:0:0:0:0:0:0:1 - - [10/Jan/2022:15:00:06 +0700] "GET /BachKhoaNews/img/thumb_story.webp HTTP/1.1" 200 39882
0:0:0:0:0:0:0:1 - - [10/Jan/2022:15:00:06 +0700] "GET /BachKhoaNews/img/dai_tuong_vo_nguyen_giap.webp HTTP/1.1" 200 16300
0:0:0:0:0:0:0:1 - - [10/Jan/2022:15:00:08 +0700] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [10/Jan/2022:15:00:17 +0700] "GET /BachKhoaNews/Resgister/resgister.jsp HTTP/1.1" 200 2807
0:0:0:0:0:0:0:1 - - [10/Jan/2022:15:00:17 +0700] "GET /BachKhoaNews/Resgister/style-resgister.css HTTP/1.1" 200 2439
0:0:0:0:0:0:0:1 - - [10/Jan/2022:15:00:17 +0700] "GET /BachKhoaNews/Resgister/validator.js HTTP/1.1" 200 7178
0:0:0:0:0:0:0:1 - - [10/Jan/2022:15:00:19 +0700] "GET /BachKhoaNews/index.jsp HTTP/1.1" 200 49660
0:0:0:0:0:0:0:1 - - [10/Jan/2022:15:00:22 +0700] "GET /BachKhoaNews/introduce/introduce.jsp HTTP/1.1" 200 27068
0:0:0:0:0:0:0:1 - - [10/Jan/2022:15:00:22 +0700] "GET /BachKhoaNews/introduce/introduce.css HTTP/1.1" 200 837
0:0:0:0:0:0:0:1 - - [10/Jan/2022:15:00:22 +0700] "GET /BachKhoaNews/introduce/img/main-logo.png HTTP/1.1" 404 803
0:0:0:0:0:0:0:1 - - [10/Jan/2022:15:00:22 +0700] "GET /BachKhoaNews/img/about-us.png HTTP/1.1" 404 788
0:0:0:0:0:0:0:1 - - [10/Jan/2022:15:01:04 +0700] "GET /BachKhoaNews/introduce/introduce.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jan/2022:15:01:04 +0700] "GET /BachKhoaNews/css/bootstrap.css.map HTTP/1.1" 404 793
0:0:0:0:0:0:0:1 - - [10/Jan/2022:15:01:51 +0700] "GET /BachKhoaNews/introduce/introduce.jsp HTTP/1.1" 200 27068
0:0:0:0:0:0:0:1 - - [10/Jan/2022:15:01:51 +0700] "GET /BachKhoaNews/introduce/introduce.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jan/2022:15:01:51 +0700] "GET /BachKhoaNews/introduce/img/main-logo.png HTTP/1.1" 404 803
0:0:0:0:0:0:0:1 - - [10/Jan/2022:15:01:51 +0700] "GET /BachKhoaNews/img/about-us.png HTTP/1.1" 200 23189
0:0:0:0:0:0:0:1 - - [10/Jan/2022:15:01:51 +0700] "GET /BachKhoaNews/css/bootstrap.css.map HTTP/1.1" 404 793
0:0:0:0:0:0:0:1 - - [10/Jan/2022:15:02:13 +0700] "GET /BachKhoaNews/introduce/introduce.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jan/2022:15:02:13 +0700] "GET /BachKhoaNews/css/bootstrap.css.map HTTP/1.1" 404 793
0:0:0:0:0:0:0:1 - - [10/Jan/2022:15:03:33 +0700] "GET /BachKhoaNews/introduce/introduce.jsp HTTP/1.1" 200 27155
0:0:0:0:0:0:0:1 - - [10/Jan/2022:15:03:33 +0700] "GET /BachKhoaNews/introduce/introduce.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jan/2022:15:03:33 +0700] "GET /BachKhoaNews/introduce/js/main.js HTTP/1.1" 404 796
0:0:0:0:0:0:0:1 - - [10/Jan/2022:15:03:33 +0700] "GET /BachKhoaNews/introduce/js/jquery.min.js HTTP/1.1" 404 802
0:0:0:0:0:0:0:1 - - [10/Jan/2022:15:03:33 +0700] "GET /BachKhoaNews/introduce/img/main-logo.png HTTP/1.1" 404 803
0:0:0:0:0:0:0:1 - - [10/Jan/2022:15:03:33 +0700] "GET /BachKhoaNews/img/about-us.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jan/2022:15:03:33 +0700] "GET /BachKhoaNews/introduce/js/main.js HTTP/1.1" 404 796
0:0:0:0:0:0:0:1 - - [10/Jan/2022:15:03:39 +0700] "GET /BachKhoaNews/css/bootstrap.css.map HTTP/1.1" 404 793
0:0:0:0:0:0:0:1 - - [10/Jan/2022:15:04:00 +0700] "GET /BachKhoaNews/introduce/introduce.jsp HTTP/1.1" 200 27155
0:0:0:0:0:0:0:1 - - [10/Jan/2022:15:04:00 +0700] "GET /BachKhoaNews/introduce/img/main-logo.png HTTP/1.1" 404 803
0:0:0:0:0:0:0:1 - - [10/Jan/2022:15:04:00 +0700] "GET /BachKhoaNews/introduce/js/jquery.min.js HTTP/1.1" 404 802
0:0:0:0:0:0:0:1 - - [10/Jan/2022:15:04:00 +0700] "GET /BachKhoaNews/introduce/js/main.js HTTP/1.1" 404 796
0:0:0:0:0:0:0:1 - - [10/Jan/2022:15:04:00 +0700] "GET /BachKhoaNews/css/bootstrap.css.map HTTP/1.1" 404 793
0:0:0:0:0:0:0:1 - - [10/Jan/2022:15:04:02 +0700] "GET /BachKhoaNews/introduce/introduce.jsp HTTP/1.1" 200 27155
0:0:0:0:0:0:0:1 - - [10/Jan/2022:15:04:02 +0700] "GET /BachKhoaNews/introduce/img/main-logo.png HTTP/1.1" 404 803
